ID,X,Y,Z
3968,1090846.34,627816.8421,563.5999756
3969,1090846.983,627811.8825,563.4799805
3970,1090847.627,627806.9229,563.6199951
3971,1090848.915,627797.0036,563.5200195
3972,1090850.846,627782.1247,563.7800293
3973,1090857.927,627727.5688,573.1699829
3974,1090859.215,627717.6496,574.1699829
3975,1090866.94,627658.1341,575.6799927
3976,1090872.734,627613.4974,576.8499756
3987,1090802.111,628118.7357,574.0499878
3988,1090805.33,628093.9376,574.1199951
3989,1090828.505,627915.3909,569.0200195
3990,1090851.68,627736.8443,572.039978
3991,1090852.324,627731.8847,572.8699951
3992,1090861.98,627657.4903,575.9299927
3993,1090865.843,627627.7325,576.1500244
4004,1090775.907,628281.7598,575.0499878
4005,1090778.482,628261.9213,575.2700195
4006,1090793.932,628142.8901,574.0900269
4007,1090811.314,628008.9801,574.1500244
4008,1090813.245,627994.1012,573.7800293
4009,1090816.464,627969.3031,572.4000244
4010,1090822.258,627924.6664,568.960022
4011,1090833.845,627835.3931,563.9000244
4012,1090837.064,627810.595,563.0200195
4013,1090838.995,627795.7161,563.2600098
4014,1090846.077,627741.1602,571.0800171
4015,1090851.227,627701.4832,574.0200195
4016,1090852.514,627691.5639,574.4000244
4017,1090858.308,627646.9273,575.6699829
4018,1090861.527,627622.1292,576.5999756
4030,1090770.948,628281.116,574.8599854
4031,1090779.316,628216.6408,574.710022
4032,1090785.754,628167.0445,573.9299927
4033,1090797.342,628077.7712,573.7897339
4034,1090800.56,628052.973,573.9899902
4035,1090806.354,628008.3364,574.0800171
4036,1090807.642,627998.4171,574.0499878
4037,1090815.367,627938.9015,570
4038,1090819.229,627909.1438,567.5999756
4039,1090824.379,627869.4668,565.0900269
4040,1090832.105,627809.9512,562.9099731
4041,1090843.048,627725.6376,572.5100098
4042,1090844.98,627710.7587,573.5200195
4043,1090853.992,627641.3239,575.7700195
4044,1090857.211,627616.5258,576.9799805
4057,1090777.576,628191.1989,574.210022
4058,1090782.726,628151.5219,573.7700195
4059,1090791.738,628082.087,573.5900269
4060,1090803.97,627987.8541,573.710022
4061,1090808.476,627953.1367,571.2199707
4062,1090814.914,627903.5404,566.8200073
4063,1090829.72,627789.4689,562.9799805
4064,1090847.745,627650.5994,575.9400024
4078,1090769.397,628215.3533,574.4000244
4079,1090770.041,628210.3937,574.2999878
4080,1090800.298,627977.2911,573.0700073
4081,1090801.585,627967.3718,572.2800293
4082,1090803.516,627952.4929,571.2800293
4083,1090808.666,627912.8159,567.4299927
4084,1090813.173,627878.0985,565.2299805
4085,1090823.473,627798.7444,562.7000122
4086,1090828.623,627759.0674,566.6599731
4087,1090836.992,627694.5923,573.8699951
4088,1090840.211,627669.7941,574.9500122
4103,1090761.863,628234.5481,574.5499878
4104,1090775.381,628130.3958,573.289978
4105,1090786.969,628041.1225,573.75
4106,1090808.857,627872.4951,564.3850098
4107,1090809.501,627867.5355,564.0999756
4108,1090818.513,627798.1007,562.5599976
4109,1090829.457,627713.787,572.5499878
4110,1090835.895,627664.1908,575.0100098
4111,1090839.757,627634.433,576.3499756
4112,1090841.689,627619.5541,576.5999756
4123,1090749.822,628288.4603,574.1500244
4124,1090750.465,628283.5006,574.210022
4125,1090754.972,628248.7832,574.3300171
4126,1090767.847,628149.5906,573.3900147
4127,1090774.284,628099.9943,573.1300049
4128,1090778.791,628065.2769,573.5599976
4129,1090780.078,628055.3576,573.6099854
4130,1090783.297,628030.5595,573.9099731
4131,1090790.378,627976.0035,573.3800049
4132,1090791.022,627971.0439,572.960022
4133,1090800.035,627901.6091,565.6799927
4134,1090809.047,627832.1743,562.6400147
4135,1090812.91,627802.4166,562.3900147
4136,1090825.141,627708.1836,572.6300049
4137,1090825.785,627703.224,572.9199829
4138,1090830.935,627663.547,574.8699951
4154,1090748.081,628263.0183,574.1300049
4155,1090773.187,628069.5927,573.2600098
4156,1090776.406,628044.7946,573.5999756
4157,1090779.625,628019.9965,574.0700073
4158,1090786.062,627970.4002,573.210022
4159,1090790.569,627935.6828,568.8699951
4160,1090793.144,627915.8442,566.6799927
4161,1090796.363,627891.0461,565.1400147
4162,1090813.744,627757.1361,566.6599731
4163,1090829.838,627633.1455,576.4199829
4177,1090741.834,628272.2938,573.7700195
4178,1090743.765,628257.415,573.9500122
4179,1090752.777,628187.9801,573.3577271
4180,1090754.709,628173.1012,573.210022
4181,1090759.215,628138.3838,572.8699951
4182,1090763.721,628103.6664,572.7800293
4183,1090779.815,627979.6757,574.2000122
4184,1090786.897,627925.1197,567.4199829
